date,time,open,high,low,close,volume
2017/1/10,1:30,19575,19595,19565,19590,11403
2017/1/10,1:45,19585,19605,19580,19585,10553
2017/1/10,2:00,19585,19595,19580,19590,3578
2017/1/10,2:15,19590,19610,19590,19605,3368
2017/1/10,2:30,19605,19615,19600,19605,4528
2017/1/10,2:45,19605,19605,19585,19595,2766
2017/1/10,3:00,19590,19600,19585,19590,1740
2017/1/10,3:15,19595,19595,19585,19585,1101
2017/1/10,3:30,19585,19600,19585,19600,831
2017/1/10,3:45,19595,19620,19590,19615,3909
2017/1/10,4:00,19615,19615,19605,19610,1214
2017/1/10,4:15,19610,19610,19590,19595,1485
2017/1/10,4:30,19595,19605,19595,19600,1086
2017/1/10,4:45,19605,19605,19590,19590,1347
2017/1/10,5:00,19590,19605,19590,19600,1194
2017/1/10,5:15,19595,19600,19590,19595,1180
2017/1/10,5:30,19595,19595,19595,19595,2720
2017/1/10,8:45,19400,19430,19390,19395,24033
2017/1/10,9:00,19400,19400,19350,19375,41436
2017/1/10,9:15,19375,19410,19370,19400,33229
2017/1/10,9:30,19405,19405,19365,19390,20883
2017/1/10,9:45,19390,19395,19365,19370,17058
2017/1/10,10:00,19370,19375,19355,19375,13097
2017/1/10,10:15,19375,19395,19365,19375,13849
2017/1/10,10:30,19375,19410,19375,19410,11930
2017/1/10,10:45,19410,19425,19395,19415,14751
2017/1/10,11:00,19415,19465,19410,19465,15931
2017/1/10,11:15,19465,19475,19430,19430,27497
2017/1/10,11:30,19435,19440,19370,19380,29720
2017/1/10,11:45,19380,19380,19355,19370,21611
2017/1/10,12:00,19370,19370,19330,19345,19057
2017/1/10,12:15,19345,19360,19340,19355,13407
2017/1/10,12:30,19355,19360,19280,19285,55556
2017/1/10,12:45,19285,19290,19240,19250,53768
2017/1/10,13:00,19250,19275,19240,19275,23279
2017/1/10,13:15,19270,19285,19235,19260,28714
2017/1/10,13:30,19260,19285,19260,19280,21376
2017/1/10,13:45,19280,19315,19245,19310,33738
2017/1/10,14:00,19305,19320,19290,19300,17863
2017/1/10,14:15,19300,19300,19270,19280,12126
2017/1/10,14:30,19280,19330,19280,19320,19131
2017/1/10,14:45,19315,19330,19290,19295,24123
2017/1/10,15:00,19295,19305,19270,19300,25175
2017/1/10,15:15,19310,19310,19310,19310,5135
2017/1/11,16:30,19345,19355,19335,19355,9283
2017/1/11,16:45,19355,19355,19340,19345,6343
2017/1/11,17:00,19345,19375,19345,19355,12049
2017/1/11,17:15,19360,19360,19320,19340,10755
2017/1/11,17:30,19340,19340,19320,19330,4449
2017/1/11,17:45,19325,19335,19305,19315,5053
2017/1/11,18:00,19315,19355,19310,19345,5713
2017/1/11,18:15,19345,19365,19340,19365,6615
2017/1/11,18:30,19360,19365,19340,19345,4152
2017/1/11,18:45,19345,19375,19340,19370,5328
2017/1/11,19:00,19370,19370,19350,19365,4587
2017/1/11,19:15,19370,19385,19365,19380,5942
2017/1/11,19:30,19380,19385,19355,19365,4320
2017/1/11,19:45,19365,19375,19350,19365,3624
2017/1/11,20:00,19365,19370,19360,19365,1646
2017/1/11,20:15,19365,19375,19365,19365,2506
2017/1/11,20:30,19365,19380,19360,19375,3129
2017/1/11,20:45,19370,19375,19350,19355,4541
2017/1/11,21:00,19355,19370,19345,19365,3979
2017/1/11,21:15,19365,19365,19340,19345,2966
2017/1/11,21:30,19345,19380,19340,19375,5642
2017/1/11,21:45,19375,19390,19370,19370,6957
2017/1/11,22:00,19370,19380,19365,19375,5355
2017/1/11,22:15,19380,19390,19360,19365,5212
2017/1/11,22:30,19365,19380,19360,19370,2690
2017/1/11,22:45,19370,19380,19365,19365,4632
2017/1/11,23:00,19365,19380,19365,19370,3581
2017/1/11,23:15,19370,19375,19350,19355,5316
2017/1/11,23:30,19355,19355,19310,19310,17959
2017/1/11,23:45,19315,19340,19290,19315,19754
2017/1/11,0:00,19320,19335,19305,19320,11941
2017/1/11,0:15,19320,19340,19320,19335,6431
2017/1/11,0:30,19340,19355,19335,19335,9177
2017/1/11,0:45,19335,19350,19325,19330,8170
2017/1/11,1:00,19330,19355,19320,19340,10667
2017/1/11,1:15,19340,19350,19325,19345,7687
2017/1/11,1:30,19345,19355,19340,19350,4425
2017/1/11,1:45,19350,19375,19345,19365,5775
2017/1/11,2:00,19365,19385,19365,19380,2178
2017/1/11,2:15,19385,19420,19385,19410,9071
2017/1/11,2:30,19410,19420,19400,19400,2688
2017/1/11,2:45,19400,19405,19370,19380,3556
2017/1/11,3:00,19380,19385,19370,19380,2364
2017/1/11,3:15,19380,19385,19375,19375,934
2017/1/11,3:30,19375,19380,19355,19355,1099
2017/1/11,3:45,19355,19380,19340,19340,3097
2017/1/11,4:00,19345,19345,19330,19335,2302
2017/1/11,4:15,19335,19350,19330,19330,1803
2017/1/11,4:30,19330,19350,19330,19340,1237
2017/1/11,4:45,19345,19350,19340,19340,637
2017/1/11,5:00,19340,19350,19340,19345,373
2017/1/11,5:15,19345,19355,19345,19355,915
2017/1/11,5:30,19345,19345,19345,19345,1573
2017/1/11,8:45,19345,19365,19335,19360,10603
2017/1/11,9:00,19355,19365,19310,19345,42551
2017/1/11,9:15,19345,19375,19330,19355,27669
2017/1/11,9:30,19360,19360,19330,19335,14827
2017/1/11,9:45,19340,19370,19335,19360,18174
2017/1/11,10:00,19365,19375,19360,19370,9389
2017/1/11,10:15,19365,19370,19340,19350,10323
2017/1/11,10:30,19345,19355,19340,19345,11695
2017/1/11,10:45,19340,19360,19340,19355,9595
2017/1/11,11:00,19355,19380,19340,19370,29711
2017/1/11,11:15,19370,19390,19355,19355,25398
2017/1/11,11:30,19355,19385,19355,19365,8701
2017/1/11,11:45,19370,19370,19350,19355,6378
2017/1/11,12:00,19355,19375,19350,19370,6370
2017/1/11,12:15,19370,19380,19350,19350,9794
2017/1/11,12:30,19355,19365,19350,19360,14537
2017/1/11,12:45,19360,19365,19340,19355,8098
2017/1/11,13:00,19355,19370,19350,19360,10649
2017/1/11,13:15,19360,19360,19345,19350,8237
2017/1/11,13:30,19350,19355,19335,19345,8753
2017/1/11,13:45,19345,19350,19335,19345,7272
2017/1/11,14:00,19350,19360,19345,19355,7657
2017/1/11,14:15,19360,19370,19345,19350,12862
2017/1/11,14:30,19355,19365,19345,19360,11641
2017/1/11,14:45,19360,19370,19345,19350,13574
2017/1/11,15:00,19350,19370,19345,19355,19218
2017/1/11,15:15,19345,19345,19345,19345,4247
2017/1/12,16:30,19350,19365,19345,19360,9261
2017/1/12,16:45,19360,19375,19355,19360,4776
2017/1/12,17:00,19360,19380,19350,19355,9385
2017/1/12,17:15,19350,19350,19310,19330,12507
2017/1/12,17:30,19325,19335,19310,19330,5379
2017/1/12,17:45,19330,19340,19315,19335,4835
2017/1/12,18:00,19335,19340,19320,19330,3379
2017/1/12,18:15,19330,19365,19330,19355,8370
2017/1/12,18:30,19355,19375,19350,19365,6815
2017/1/12,18:45,19365,19385,19365,19380,5912
2017/1/12,19:00,19380,19395,19375,19380,6491
2017/1/12,19:15,19385,19405,19375,19405,5175
2017/1/12,19:30,19405,19425,19390,19420,8277
2017/1/12,19:45,19415,19420,19400,19400,5245
2017/1/12,20:00,19400,19410,19390,19395,4203
2017/1/12,20:15,19390,19405,19390,19395,3039
2017/1/12,20:30,19395,19405,19390,19400,2259
2017/1/12,20:45,19400,19405,19395,19400,4072
2017/1/12,21:00,19400,19410,19395,19395,4159
2017/1/12,21:15,19400,19400,19380,19395,5250
2017/1/12,21:30,19395,19400,19365,19370,7031
2017/1/12,21:45,19370,19390,19370,19385,3431
2017/1/12,22:00,19385,19395,19380,19385,2480
2017/1/12,22:15,19380,19390,19370,19385,4694
2017/1/12,22:30,19385,19395,19375,19380,3531
2017/1/12,22:45,19380,19385,19370,19375,3559
2017/1/12,23:00,19375,19400,19375,19395,5498
2017/1/12,23:15,19395,19400,19385,19390,3180
2017/1/12,23:30,19395,19415,19380,19405,12265
2017/1/12,23:45,19410,19465,19400,19455,17348
2017/1/12,0:00,19460,19480,19455,19470,15653
2017/1/12,0:15,19475,19480,19455,19470,11241
